,GD,mammalTaxa,mammalSeqs,Dist,PD,nTaxa,GlobalExtreme_prTrendExt,GlobalExtreme_prVarExt,GlobalExtreme_tsTrendExt,GlobalExtreme_tsVarExt,kk10,HFP2009,GDsqrt,TaxonComplete
8.0,0.014094030625660482,16,90,211.72493281848477,3479.3660954099996,232,4.512611485552043e-05,0.2255016714334488,0.00023839881760068243,0.3771306872367859,-866.8339178276117,4.554398536682129,0.11871828260912673,0.06639004149377593
33.0,0.011589374580742978,14,193,463.77557277382635,2885.0191235799994,176,3.910365194315091e-05,0.2374927252531052,-1.6056932508945465e-05,0.4568871855735779,-8.305921712947475,5.756895542144775,0.1076539575712058,0.07692307692307693
10.0,0.017717779759633387,58,460,316.2363419622083,5806.729349979999,454,9.481866982241627e-06,0.3197914659976959,0.00016596993373241276,0.409248948097229,-356.594030859331,8.693877220153809,0.13310815061307624,0.12033195020746888
31.0,0.0206556724567361,13,252,295.5503853051334,3104.47927499,193,0.0001058387861121446,0.4741206467151642,0.00020106717420276252,0.5145967006683351,-0.09128656420426376,2.2531962394714355,0.14372081427801647,0.065
16.0,0.017067166612508653,55,1950,429.05931542109187,6844.783337329998,587,-4.6998688048915944e-05,0.34848204255104065,0.0004932523588649929,0.2583755850791931,-577.2193270232527,6.0040626525878915,0.1306413663910044,0.0888529886914378
30.0,0.0190056245357105,3,10,9.953334633574523,2128.3742123600005,110,-4.012238059658557e-05,0.3838459551334381,0.00018086041382048282,0.7554053664207458,0.0,1.819881081581116,0.13786088834658836,0.02586206896551724
7.0,0.027940503644778396,18,99,259.79730684502283,5914.607942329999,448,-0.00014070159522816542,0.3860094547271729,0.0007034221780486405,0.2421884834766388,-1685.2726454516232,5.099944114685059,0.16715413140206375,0.03805496828752643
18.0,0.011588623669598183,50,1082,186.52420362191464,2779.2178377,208,-0.00015220549539662898,0.4096930325031281,0.0004431025590747595,0.2535562217235565,-241.91196418882257,7.438690185546875,0.1076504698995698,0.22935779816513763
34.0,0.01740233402885768,15,68,110.38741853220554,3567.684557429999,342,0.000299236795399338,0.6027016043663025,0.0004584568669088185,0.1454535573720932,-45.30356174290363,5.058404445648193,0.13191790639961537,0.04189944134078212
9.0,0.018052404619401937,114,1103,407.9319918352935,8707.776448539998,875,-0.00016653585771564394,0.48110231757164,0.0007758538122288883,0.30427175760269165,-350.2930378192534,4.00689172744751,0.13435923719418005,0.11850311850311851
26.0,0.02304295047336095,116,1147,340.9631253479971,8153.299210540001,804,0.00020127542666159568,0.4746787250041962,0.0006452616071328522,0.2447380125522613,-1143.0730346833357,10.542243003845217,0.1517990463519483,0.13727810650887573
29.0,0.014163508570389404,10,57,42.58435543614344,4742.70617912,303,0.0003584046207834035,0.4412581920623779,0.0004713750968221575,0.10972587019205092,-344.52840909090907,9.89043426513672,0.11901053974497135,0.03194888178913738
14.0,0.017285778057297654,61,772,625.8093658256814,7725.3338258600015,725,0.0003341337142046541,0.3513476550579071,0.00047519407235085964,0.2973555326461792,-1064.3239862261607,7.726046085357666,0.13147538954989885,0.08026315789473684
13.0,0.018478544978441633,60,753,394.85594603130363,6547.34377018,572,0.0002961622667498886,0.3496886193752289,0.000523483380675316,0.13236890733242035,-310.4606077804148,5.8149166107177725,0.13593581197918977,0.10256410256410256
22.0,0.0072419163286161405,13,103,198.05560395396375,5238.24652856,314,0.0006248436402529478,0.4496738612651825,0.0003418446867726743,0.4911433458328247,-4178.55674017818,16.398849487304688,0.08509944963756311,0.04100946372239748
5.0,0.011555643070680136,36,449,249.57827306170202,5609.435419269998,381,0.0008114043739624321,0.31955215334892273,0.0007844691281206906,0.24216629564762115,-3719.0334048421696,8.357515335083008,0.10749717703586516,0.08955223880597014
12.0,0.01882234649611827,26,276,830.4371356109066,5063.06851867,323,0.00015776323562022299,0.182038351893425,0.0013557891361415384,0.529508113861084,-111.23211058181313,2.6676511764526367,0.13719455709363354,0.07807807807807808
17.0,0.014284374497619313,11,122,366.65311367784545,4506.20732242,250,0.0002535002131480724,0.2200846821069717,0.0020892182365059853,0.5526255965232849,-1038.1322692347703,6.130305767059326,0.11951725606630749,0.04198473282442748
3.0,0.016293247484203868,32,345,191.28512865911486,5251.659807389999,344,8.005424751900135e-05,0.39694806933403015,0.0008176366100087763,0.4219785928726196,-4158.36800907544,8.53190803527832,0.1276450057158676,0.09142857142857143
6.0,0.008623480208614625,8,93,205.39000298048626,1182.9007676200001,46,0.0005759174819104372,0.2621504664421081,0.0011139540001749992,0.19530309736728668,-775.8721775736702,12.043209075927734,0.09286269546278864,0.16666666666666666
27.0,0.02342473865186881,87,1450,282.98423091542924,5908.529942630002,426,-0.0001539008371764794,0.37877681851387024,0.0011883658589795232,0.477331280708313,-1970.0605056787451,12.998153686523438,0.15305142486062914,0.19908466819221968
2.0,0.019356079715218952,42,551,294.9276489119061,4666.0362597700005,326,2.061743771264446e-06,0.3066900968551636,0.0011833352036774158,0.5217354297637941,-315.5663874180036,6.013411045074463,0.13912612880123904,0.12574850299401197
4.0,0.014283539364246551,28,1066,422.18024198616024,3495.046182050001,174,3.071175524382852e-05,0.24936389923095706,0.0017577077960595489,0.6850691437721252,-532.2185886116016,11.116652488708496,0.11951376223785506,0.16091954022988506
20.0,0.009075345388914814,2,8,146.18231095226707,3033.7797900399996,116,0.0004449475673027337,0.24482223391532895,0.0013202206464484336,0.6170464158058167,-773.20788240995,7.305984497070312,0.09526460722070297,0.017094017094017096
11.0,0.016184936954678257,8,78,750.6432075104927,2673.9385800999994,100,0.0001497862976975739,0.0939461886882782,0.002690904540941119,0.5652778148651123,-2077.312120445344,11.032623291015623,0.1272200336215891,0.07547169811320754
23.0,0.01481406002966165,26,534,158.8178804067376,6335.6770662300005,429,0.0003232406743336469,0.2542461156845093,0.0010760178556665778,0.5457809567451477,-430.84953691988466,4.478557109832764,0.12171302325413517,0.060324825986078884
15.0,0.015260239007504036,88,4442,536.2522650393292,4339.126417570001,300,0.0004046941758133471,0.16590046882629395,0.0041876742616295815,0.9460721611976624,-2561.8936084242473,13.782217025756836,0.12353233992564067,0.28664495114006516
21.0,0.004987531172069825,1,2,0.0,3609.5165718099997,168,0.00024961534654721623,0.14925861358642578,0.001983497524634004,0.6964665651321411,-3018.0583597941527,8.42490291595459,0.07062245515464487,0.005917159763313609
28.0,0.023131150729069284,17,158,216.86095265460244,4312.2793455,252,0.00034014286939054733,0.31514889001846313,0.00218751491047442,0.6554926633834839,-4687.3607189208315,15.570137977600098,0.15208928538549085,0.06719367588932806
32.0,0.013520151392998758,22,1025,266.406984870131,1766.0514118499998,53,-0.00013430550461634996,0.3961900770664215,0.0011410886654630306,0.4574344456195831,-1342.1144278606967,19.984500885009766,0.11627618583785228,0.4074074074074074
25.0,0.011513673996778917,91,2077,894.2481335977732,3978.85619272,287,0.0002164636098314077,0.1226506009697914,0.0030385046266019344,1.049873113632202,-284.2879412468464,3.4897396564483643,0.10730178934565311,0.3159722222222222
1.0,0.012509932267314776,57,2589,599.9706145892361,3967.7707072900002,283,0.0001813265698729083,0.12105845659971234,0.004592587240040302,1.184375882148743,-172.265951372549,1.6158708333969116,0.11184780850474799,0.2007042253521127
19.0,0.006154901791508492,16,95,96.36641306517993,3284.4931735900004,191,0.0001958253124030307,0.1081884354352951,0.002626911969855428,0.8845905661582947,-411.54528554753364,6.403331756591798,0.07845318216304864,0.08290155440414508
24.0,0.012766774268306932,15,114,239.0161521203233,3777.72750959,243,0.0002623246691655368,0.1469678431749344,0.0017864116234704852,0.6793404221534729,-593.1838339088323,4.233330726623535,0.11299015120047823,0.061224489795918366
